"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Company Name","Description","Year Established","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"BBSRC","BB/J002119/1","Research Grant","Spin Outs","University of Cambridge","Chemistry","Knowles","Tuomas","","Fluidic Analytics","This is a spin out company from the University of Cambridge that was created to take forwards the microfluidic methods that we have developed in our laboratory. The company focuses on the use of microfluidics to characterise proteins and their complexes and aggregates. The company has already secured support from the comercial arm of the University, Cambridge Enterprise, and from the Technology Strategy Board.","2013","The company provides employment for a post-doc that worked in our group, Thomas Mueller (since 1st of November 2014) and indeed seven other people.","http://www.fluidicanalytics.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=54625559be62c3.83482783&grantRef=BB%2FJ002119%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/J002119/1","B027170A-7764-4848-BD57-38926F05D262","2512EF1C-401B-4222-9869-A770D4C5FAC7","D1774113-D5D2-4B7C-A412-66A90FE4B96F","49EC7823-D0FF-4433-A61F-C1F33954F403"
"MRC","MR/L012855/1","Research Grant","Spin Outs","University College London","Institute of Child Health","Gaspar","Hubert","","Orchard Therapeutics","Ex vivo bone marrow gene therapy company","2016","none so far but intention to take gene therapy developments to licensed medicines","http://orchard-tx.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56df05b29c8cf5.18525541&grantRef=MR%2FL012855%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/L012855/1","EE2C4C3D-0702-46BE-96E7-25FAF7E7A638","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","32C75711-61FE-40B1-B099-73E64CC6EF27"
"EPSRC","EP/K033476/1","Research Grant","Spin Outs","University of Cambridge","Computer Laboratory","Anderson","Ross","","Focal Point positioning Ltd","Using signal processing techniques to make GPS location more accurate","2015","None yet. The relevance to the grant is that I got to know the founder, Ramsey Faragher, when I employed him to implement signal-processing aspects of Sophie van der Zee's deception detection experiments, using separate funding (a grant from Google). His other ideas in signal processing led him to start Focal Point after the academic work was done, and I backed the company.","http://www.focalpointpositioning.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56dacbcaaf1a05.48014128&grantRef=EP%2FK033476%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/K033476/1","BE0CB918-6655-4A4D-9988-251F9D8C574F","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","68BAAF03-FE50-4F31-9003-75678B8DAED0"
"MRC","G0500905","Research Grant","Spin Outs","University of Oxford","Oncology","La Thangue","Nicholas","","Celleron Therapeutics","Therapeutic Company; http://cellerontherapeutics.com/","2006","Drug discovery","http://cellerontherapeutics.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=D0F1F338EBC&grantRef=G0500905","http://gtr.rcuk.ac.uk:80/projects?ref=G0500905","19803CA7-556A-490C-BC32-3C58E750C90C","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","CA56942E-18DE-45C1-8F45-6C572E0F1D0A"
"EPSRC","EP/H011749/1","Research Grant","Spin Outs","Queen Mary, University of London","Sch of Electronic Eng & Computer Science","Distefano","Dino","","Monoidics","Start-up developing an automatic software analyzer able to find subtle bugs in industrial software","2009","The company had several industrial clients using its product. Then the company was acquired by Facebook that now daily uses Monoidics software.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56dcc4a984deb6.72017388&grantRef=EP%2FH011749%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H011749/1","F8ADEFB4-73EA-471E-8BB9-26F66B8F39A2","798CB33D-C79E-4578-83F2-72606407192C","D5337A10-AC8A-402A-8164-C5F9CC6B0140","5C67C667-B4C0-4FDC-A9CA-1451BBB60638"
"MRC","G0700000","Research Grant","Spin Outs","University of Edinburgh","Royal (Dick) School of Veterinary Scienc","Seckl","Jonathan","","ipSOX ltd","www.ipsox.co.uk
ipSOX covers for insulin pumps come in a selection of colours and designs that stretch to fit your insulin pump. All ipSOX profits are reinvested to support diabetes care.","2011","Provided over 20000 covers and is currently designing products for use in sporting activities.","http://www.ipsox.co.uk","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=pojpPm5BzEc&grantRef=G0700000","http://gtr.rcuk.ac.uk:80/projects?ref=G0700000","78645077-E8A8-4CBA-BD1D-2A59CBF6C919","C008C651-F5B0-4859-A334-5F574AB6B57C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","43624727-2D66-49AE-8923-426DD4CDD141"
"EPSRC","EP/H023240/1","Research Grant","Spin Outs","University of Nottingham","Division of Architecture & Urbanism","Cooper","Edward","","Build Test Solutions Ltd","Build Test Solutions Ltd has been created by a consortium of specialists in the energy efficiency industry. It's members: The National Energy Foundation, Absolute Air and Gas and Elmhurst Energy, have joined forces to tackle the problems associated with current methods of air tightness testing. It is licencing the IP from the University of Nottingham to commercialise the new low air pressure method to bring huge benefits to developers, testers, building product manufacturers and building occupants.","2015","To be reported in 2017.","http://www.pulseairtest.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56e01423034103.59454734&grantRef=EP%2FH023240%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H023240/1","F22D8E32-22EB-4EED-8487-2E90C8FAF7B1","798CB33D-C79E-4578-83F2-72606407192C","936D002F-A8D1-4A93-AE5D-825ED0903D8D","6C99FAAD-32E9-4169-B70E-76FA09E28AD7"
"MRC","MC_PC_13073","Intramural","Spin Outs","University of Oxford",,"Bountra","Chas","","No name yet","Antibacterial drug discovery","2016","None at this stage (too early), but in active discussion with industry and investors to map future directions",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56d46fc291f844.21287627&grantRef=MC_PC_13073","http://gtr.rcuk.ac.uk:80/projects?ref=MC_PC_13073","43345946-CAF6-44AC-9BA4-355D8AF883BC","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","0549AE03-83A7-456B-B9EC-6790271B75F3"
"EPSRC","EP/G015740/1","Research Grant","Spin Outs","University of Manchester","Computer Science","Furber","Stephen","","Cogniscience Ltd","Owns the SpiNNaker IP","","Receives royalties on SpiNNaker sales.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56d1d715869ef4.93885993&grantRef=EP%2FG015740%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/G015740/1","E3467D97-3C0F-4D61-9DF9-352234D12A33","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","E7015D6B-3846-4E4F-A5BB-CBF9B025EB07"
"MRC","G0600986","Research Grant","Spin Outs","University of Cambridge","Wolfson Brain Imaging Centre","Pickard","John","","Technicam and Medicam","www.technicam.co.uk
Technicam Limited, a British company, was established in 2000 by a group of neurosurgeons and Centrax Limited of Newton Abbot, a precision engineering company.

The aim of the company is the development of innovative advances in the field of surgical devices.

All Technicam products are patent protected and CE marked. The Technicam Cranial Access Device has received an award as a Millenium Product for innovation

The indications for skull burr-holes include insertion of intra-cranial bolts, insertion of exterior ventricular drains(ventriculostomies) , insertion of ventricular catheters for shunts , drainage of chronic subdural haematomas and access for brain biopsies. Burr-holes have been traditionally performed either by using air-powered drills or by hand using a brace, perforator and spherical burr. Recently the demand for cranial access via burr-holes has increased due to the application of monitoring probes, (intra-cranial) pressure transducers, oxygen and multi-parameter sensors and micro-dialysis catheters, and the increasing use of external ventricular drains in patients with head injury and subarachnoid haemorrhage. Traditionally, burr-holes have been performed in the operating theatre. By undertaking them on the intensive care unit, however, the complications of transferring the patient to the operating theatre can be avoided.","","Technicam have therefore developed a new cranial access system designed to simplify burr-holes, and facilitate the insertion of monitoring probes and external ventricular drains for use in the intensive care unit or the operating theatre - the Technicam Cranial Access System.","http://www.technicam.co.uk","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=EXfTyZa92GG&grantRef=G0600986","http://gtr.rcuk.ac.uk:80/projects?ref=G0600986","403421A0-CC02-41AF-BE21-3A423AF2BD3C","C008C651-F5B0-4859-A334-5F574AB6B57C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","9D0C5F6D-E2EC-402A-B26D-EF21A234A490"
"MRC","G0800604","Research Grant","Spin Outs","University of Edinburgh","School of Clinical Sciences","McKeigue","Paul","","Pharmatics Ltd","Pharmatics is a startup company developing intelligent software and providing data mining services to industries. We are developing software that can be used to validate causal pathways that may contain therapeutic targets, and identify biomarkers that can be used as surrogate end-points in Phase 2 trials. We are also developing tools for prediction of individual response from high-dimensional -omic measurements. More details are given at www.pharmaticsltd.co.uk","2011","Pharmatics is a young RnD company. It is working on a pilot project with a company listed on FTSE100. In July 2011, Pharmatics was announced the overall winner of BioQuarter Innovation Competition 2011, showing a potential for becoming one of the most promising young bio-medical companies in Scotland.","http://www.pharmaticsltd.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=CtjVAzzcqRr&grantRef=G0800604","http://gtr.rcuk.ac.uk:80/projects?ref=G0800604","7F817D77-B826-44C0-8D46-42571D885A08","C008C651-F5B0-4859-A334-5F574AB6B57C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8B655D32-2D40-4464-8752-DD206A7BC0F4"
"AHRC","119353/1","Research Grant","Spin Outs","University of Oxford","Classics Faculty","Obbink","Dirk","","Oxford Multispectral Ltd","A company commercialising an MSI scanning device, which uses different wavelengths of light to detect faded or erased ink, for analysing manuscripts and archived documents, as well as modern forgeries.","2011","Their flat-bed scanner produced works by capturing a series of images using different wavelength light sources from infrared to ultraviolet. A computer program then combines them to emphasise the specific colour light absorbed by the faded ink in order to make it appear more clearly. It could be used to analyse altered or counterfeit documents such as forged passports, bank notes or forensic evidence.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=5463a580bb2fa2.21871786&grantRef=119353%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=119353/1","0DCDA6AD-AF69-470C-97F8-522E1D2C78F4","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","A71E1421-5448-4234-9301-47BA5E826E13"
"EPSRC","EP/J01544X/1","Research Grant","Spin Outs","School of Pharmacy","Pharmaceutical and Biological Chem","Hilton","Stephen","","Fabrx","FabRx is the creation of three academics from University College London, who saw the potential of 3D printing technology for making better medicines.
 
Established in 2014, FabRx is a rapidly growing biotech business that is developing printed medicines and drug-loaded medical devices. FabRx can design and develop drug-loaded polymers for fused-filament printing into controlled or modified release tablets and caplets or polymer-drug blends for SLA printing into tablets and medical devices.","2014","abRx is a research-driven company and in addition to our IP portfolio our staff frequently publish papers in International Journals. Our latest papers are listed below. Contact us for reprints (or you can cut and paste the DOI into a search engine) or to talk about the data. Goyanes, A, Robles-Martinez, P, Buanz, ABM, Basit, AW, Gaisford, S (2015). Effect of geometry on drug release from 3D printed tablets. Int. J. Pharm. (DOI: 10.1016/j.ijpharm.2015.04.069) Tyson, AL, Hilton, ST, Andreae, LC (2015). Rapid, simple and inexpensive production of custom 3D printed equipment for large-volume fluorescence microscopy. Int. J. Pharm. (DOI: 10.1016/j.ijpharm.2015.03.042) Goyanes, A, Buanz, ABM, Hatton, GB, Gaisford, S, Basit AW (2015). 3D printing of modified-release aminosalicylate (4-ASA and 5-ASA). Eur. J. Pharm. Biopharm. (DOI: 10.1016/j.ejpb.2014.12.003) Goyanes, A, Buanz, ABM, Basit, AW, Gaisford, S (2014). Fused-filament 3D printing (3DP) for fabrication of tablets. Int. J. Pharm. (DOI: 10.1016/j.ijpharm.2014.09.044)","http://www.fabrx.co.uk","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=563b4859ceedf3.56110830&grantRef=EP%2FJ01544X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/J01544X/1","AAFAFF6A-C864-4E9B-B021-4827566DE4FB","798CB33D-C79E-4578-83F2-72606407192C","FAD72F10-05DD-4B4D-89F4-0475C2A79E10","2D5A4847-BE0E-4A4B-9CE9-F94F9F2D3330"
"MRC","G19/35","Fellowship","Spin Outs","University College London","Epidemiology and Public Health","Marmot","Michael","","UCL Institute of Health Equity","The UCL Institute of Health Equity (IHE) (www.instituteofhealthequity.org) will absorb all Michael's work on reducing health inequities through action on the social determinants of health by: Influencing global, national and local policies; Advising on and learning from practice; Building the Evidence Base, and; Capacity Building","2011","Institute will be launched on 21st November 2011 and take over the work of the Marmot Review team (www.marmotreview.org)","http://www.instituteofhealthequity.org","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=DJ6tzAk2xQF&grantRef=G19%2F35","http://gtr.rcuk.ac.uk:80/projects?ref=G19/35","68ECDEB5-5148-4BC0-98FA-4B16AAB09880","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","57A68660-EFEF-480B-A6F2-B7BD74FB962F"
"EPSRC","EP/D064805/1","Research Grant","Spin Outs","Imperial College London","Electrical and Electronic Engineering","Yeatman","Eric","","Microsaic Systems plc","Microsaic Systems plc is a high technology company developing and marketing next generation mass spectrometry (MS) instruments for the analysis of gaseous, liquid and solid samples - providing solutions to enhance workflow and productivity.

Microsaic has successfully miniaturised mass spectrometry by integrating the key MS components onto patented chip technologies called ionchip&reg;, spraychip&reg; and vac-chip™. Microsaic's MS products retain the performance of larger, conventional MS systems but are substantially smaller, lighter, consume less energy and have lower running costs. The Company's first product, the Microsaic 3500 MiD&reg;, was launched in January 2011 and the Company launched the Microsaic 4000 MiD&reg;, the world's smallest MS system, in April 2013.

MS is widely accepted as the 'gold standard' method for identifying individual chemicals in samples and is used routinely across multiple sectors, including government, energy, utilities, pharmaceutical, diagnostics and healthcare, environmental, food and drink, security and defence, and industrial chemicals.

Microsaic partners with customers to deliver products incorporating its next generation MS and other MEMS based technologies.

History

Microsaic Systems plc was established in 2001 to develop miniaturised MS instruments based on Micro-Electro-Mechanical Systems (MEMS) originating at the highly regarded Optical and Semiconductor Devices Group at Imperial College London.

Microsaic has subsequently established a large portfolio of patents, of which 49 are granted, and six registered trademarks.

The Company has been based at headquarters in Woking, UK since September 2004 and was admitted to AIM, a market of the London Stock Exchange, in April 2011 (ticker: MSYS).","","The Company launched the Microsaic 4000 MiD&reg;, the world's smallest mass spectrometry system, in April 2013.","http://www.microsaic.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=m-453107487.832296213316000&grantRef=EP%2FD064805%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/D064805/1","E5327F6F-5785-4448-A508-41D59B1898C0","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","9877065F-3B13-4F70-BA4D-EA1B8D8164E6"
"EPSRC","EP/G034303/1","Research Grant","Spin Outs","Queen's University of Belfast","Electronics Electrical Eng and Comp Sci","McCanny","John","","LIOPA LTD","Liopa brings a novel, robust and convenient person authentication solution to the biometric security market. Our product can validate a user's identity by analysing the appearance and movement of their lips as they speak into a camera. These movements are known as their viseme profile and have been shown to be highly speaker-specific. The user is challenged to say a randomly chosen word or phrase each time they are authenticated. This allows our technology to not only accurately verify identity but also ensure that the person is actually present (&quot;liveness&quot;) and therefore the biometric data is not being falsified. Liopa enables a number of use cases including -
 o Prevention of theft and fraud in online and mobile commerce 
 o Online and mobile banking authentication
 o Secure Access to Web-sites
 o Physical Access Security, Time and Attendance Management
 o Securing access to Mobile Devices &amp; Applications
 o Authentication for Corporate mobile workforce","2015","Liopa has been named the winner of the Software and Digital Media category, sponsored by Intel, at the 25k Awards. The team was one of two spin out ventures competing in this category being incubated by the Centre for Secure Information Technologies (CSIT) based at Queen's University Belfast's ECIT Institute. The prestigious annual 25k awards, which are sponsored by Bank of Ireland, are made under the NISP CONNECT entrepreneurship programme, based at the Northern Ireland Science Park in Belfast's Titanic Quarter. The awards are designed to showcase the most innovative research and intellectual property from the publicly funded institutions in Northern Ireland. Liopa were recently selected as a Finalist in the prestigious IPASCO ICT Security awards. Liopa's unique Lip-based Biometric Authentication solution impressed the judges in this highly competitive category. IPACSO is supported by the European Commission, and aims to improve the competitiveness of the European Cyber Security & Privacy market. Each year in October, Europe's most innovative and forward-thinking researchers and entrepreneurs gather in Brussels, recognising those who are bolstering Europe's cyber security landscape. With the awards, the IPACSO consortium, supported by the European Commission under FP7, support Privacy and Cyber Security Innovations 'Made in Europe'.","http://www.liopa.co.uk/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56deed45155db2.98109999&grantRef=EP%2FG034303%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/G034303/1","AA79A98A-E933-4855-879F-4FA1A453A687","798CB33D-C79E-4578-83F2-72606407192C","EC23DA53-CA73-4104-A3F6-2A9523484E69","F05D1A0D-8915-416E-A0EC-E52C826BE888"
"BBSRC","BB/I001107/1","Research Grant","Spin Outs","University of Edinburgh","The Roslin Institute","Freeman","Tom","","Kajeka Ltd","Company offering network analysis tools and services for the analysis of high dimensional data. Based on IP and know how behind BioLayout Express3D. We are also generating a new generation of network analysis tools for enterprise level clients based on dynamic graph rendering. The company has won a number of grants to aid its development and is now actively seeking investment.","2014","The company is still at an early stage in its development but is beginning to gain traction and clients for the software.","http://www.kajeka.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=545fdea0174cf8.68967572&grantRef=BB%2FI001107%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/I001107/1","99D085DB-1E0A-4FC1-B983-69956A503D32","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A","45B93CB0-CE6C-4A23-A17F-DBF5536D9837"
"BBSRC","BB/L027887/1","Research Grant","Spin Outs","University of Glasgow","College of Medical, Veterinary &Life Sci","Milligan","Graeme","http://orcid.org/0000-0002-6946-3519","Caldan Therapeutics","Caldan Therapeutics Ltd is a spin out company based in Glasgow and established by myself and my academic co-founder Professor Trond Ulven of the University of Southern Denmark. The company is centred on the development of new therapeutics to treat type II diabetes by targeting the G protein-coupled receptors for long chain free fatty acids. Caldan Therapeutics recently raised &pound;4.45Million of Series A funding to drive this venture.","2015","None to date",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56b3156fbee479.40034478&grantRef=BB%2FL027887%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/L027887/1","9D1D75AC-FEDF-4C48-B2E6-44FB5DE8437C","2512EF1C-401B-4222-9869-A770D4C5FAC7","AE58F21F-3622-4382-97BB-1359BD183E9F","48C13E55-28C1-4AE4-BA67-521BE128FE74"
"EPSRC","EP/G005877/1","Research Grant","Spin Outs","University of Strathclyde","Pure and Applied Chemistry","Ulijn","Rein","","Biogelx Ltd","Biogelx is a biomaterials company, created in 2012 to commercialise advances in patented, bio-inspired tuneable peptide gels, developed by the internationally recognised Ulijn Group at the University of Strathclyde. The group develops a variety of peptide-based systems operating in the rapidly emerging field of 'bio-inspired, molecular self-assembly'. 

Biogelx brings to the market new tools to cell biologists, who need to replicate the behaviour of mammalian cells in the artificial environment of the laboratory. The company develops and supplies highly tuneable, cell-matched peptide hydrogels, capable of revolutionising the way cell biologists control and manipulate cell behaviour in laboratory-based cell culture applications. 

The company started by offering consumable research tools to cell biologists based on patent covering a new type of peptide based gel ('Hydrogel composisitions'). Over the last 3 years, company has grown significantly.","2012","In producing simple mimics of complex biological materials, Professor Rein Ulijn of the University of Strathclyde has developed an international reputation as a leading academic researcher in this field. In 2010 he joined forces with Dr. David Lightbody, an experienced start-up/technology commercialisation chemist, and together they sought to bring a new suite of materials, namely peptide hydrogels, to the cell culture research market. Much of the research through to 2012, had been funded by research councils (ERC, Leverhulme Trust, EPSRC grant ). Having identified a clear market opportunity, Rein and David sourced a candidate to undertake the RSE Enterprise fellowship, which would see a full time Strathclyde PhD graduate work with Rein and David to identify key commercial relationships and develop the Biogelx business plan. In late 2012, the Biogelx business secured equity investment from Gabriel Investments Ltd (&pound; 20k), Scottish Investment Bank (&pound; 20k) and the University of Strathclyde (&pound; 20k) and secured a license arrangement with the University of Strathclyde for the exclusive use of its peptide gel technology. This allowed Biogelx to secure commercial premises at BioCity Scotland and recruit four full time employees. Since trading started in early 2013, Biogelx has successfully developed revolutionary, patented cell-matched hydrogel products that are already generating steady sales income from customers in the UK, mainland Europe, South Korea and the United States. The unique cell-matching capabilities of the company's products clearly provide academic users, medical researchers and major pharmaceutical companies with a serious alternative to competing complex, animal- derived 3D cell culture products. In-house R & D has already generated one new patent application, with a second to follow in early 2016. In June 2015, the Company secured series A investment of &pound;630,000. These funds are being used to grow the operational base of the business and increase the company's profile/customer base internationally. The business now has 10 employees at its base at BioCity Scotland and has recently appointed its first employee at its US subsidiary, Biogelx, Inc., which is located at Harlem Biospace, a New York City life science incubator. To date, Biogelx has successful generated sales of &pound;180k in 2013, &pound;210k in 2014, and approx. &pound;240k in 2015 and has a commercial product range, that is sold to around 40 customers spread across EU, USA, Asia and South America. These include major pharmaceutical companies such as GSK and Novartis, together with some of the UK's leading Universities (UCL, Manchester, Liverpool, Keele). In September 2015, the Company secured and exclusive licence deal for new tripeptide materials, which are biodegradable and biocompatible. This technology dramatically expands the application are of the gels from research tools to regenerative medicine. The company continues to hire ambitious chemistry graduates, many of whom are from Strathclyde, and also offer training support to students, having hosted 4 undergraduates to date, to complete their industrial placement year with the company.","http://www.biogelx.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56e0e1b95af632.56752355&grantRef=EP%2FG005877%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/G005877/1","D12ECA88-3F42-44FF-AFBB-4071C742A9E3","798CB33D-C79E-4578-83F2-72606407192C","5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850","B5E08AB5-7F56-4530-BBCE-4B17BA8F7170"
"EPSRC","EP/L020734/1","Research Grant","Spin Outs","Swansea University","School of Engineering","Guy","Owen","","BioMEMs Technologies Ltd","Biomems Technologies Limited is a Private Limited Company. Company number assigned by Companies House is 09360659.","2014","Develops microneedle technologies for Bio-MEMs Applications","http://companiesuk.co/none-supplied/biomems-technologies-limited","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56cd7c41715215.42165724&grantRef=EP%2FL020734%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/L020734/1","EC9869BA-E44C-4DA3-94F6-5803E34D1EBA","798CB33D-C79E-4578-83F2-72606407192C","AB307619-D4FA-427E-A042-09DBEBA84669","CD039283-24AF-4A84-8176-6EADD12A5E9F"
"MRC","MR/L01324X/1","Research Grant","Spin Outs","Nat Inst for Bio Standards and Control","Cell Biology and Imaging","Stacey","Glyn","","Asymptote","Developing novel cryopreservation devices","","UKSCB carrying out qualification expts with stem cells","http://www.cambridgenetwork.co.uk/directories/companies/2486/?atoz=A","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=54639d7363ee14.06280674&grantRef=MR%2FL01324X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/L01324X/1","AA3C302C-9644-4D23-A74A-60D51A6CDE82","C008C651-F5B0-4859-A334-5F574AB6B57C","EDB67137-AF95-475C-954C-8EA1517069D6","38DD21D0-97EE-4180-A444-FF579BF141B6"
"MRC","G9901399","Research Grant","Spin Outs","University of Oxford","Clinical Neurosciences","Matthews","Paul","","Imanova, Ltd.","Imanova is a molecular and functional imaging service company. This funding programme further demonstrated the value of public-private partnerships in this area to GSK, who led in formation of the new company. The programme continues to support Imanova and is not providing the latter with a model for training.","2011","Has established proof of principle for training in radiochemistry in the context of this kind of company","http://www.imanova.co.uk/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=JVeHPQVJ2cm&grantRef=G9901399","http://gtr.rcuk.ac.uk:80/projects?ref=G9901399","DE03D6E1-05F1-4970-9DB2-6DEEF5C265B9","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","C9EF0FB5-941A-47D1-AB13-A6115D438A18"
"MRC","G1000807","Research Grant","Spin Outs","University of Oxford","Pharmacology","La Thangue","Nicholas","","Celleron Therapeutics","Therapeutic Company; http://cellerontherapeutics.com/","2006","Drug discovery","http://cellerontherapeutics.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=D0F1F338EBC&grantRef=G1000807","http://gtr.rcuk.ac.uk:80/projects?ref=G1000807","1A4AC32C-8F23-4A4E-9EEF-7B2EE6BDF21B","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","CA56942E-18DE-45C1-8F45-6C572E0F1D0A"
"EPSRC","EP/H051791/1","Research Grant","Spin Outs","Newcastle University","Civil Engineering and Geosciences","Bell","Margaret","http://orcid.org/0000-0001-8822-8437","Envirowatch","This company was a spin out to commercially exploit the e-Mote researched and developed by Jeff Neasham of the School of Electrical Engineering Newcastle University in the EPSRC funded MESSAGE project. My colleagues Dr Fabio Galatioto, Dr Paul Goodman and Professor Margaret Bell have worked alongside Envirowatch since 2011 to enhance and validate the accuracy of the sensors addressing more specifically the issues with the Nitrogen Dioxide Sensor in collaboration with Alphasense. 

An ozone sensor was incorporated in the MESSAGE system by Envirowatch as an output from the EPSRC Lamppost project","2011","Continued close relationship with this Envirowatch to overcome set backs due to the Alphasense sensors proving not to be fit for purpose. Product has been modified in response to user needs to have its own GPRS SIM card to be a standalone system for application on motorways, indoors, garages etc; application within railway stations; validation and self correction algorithms for noise developed as a result of a PhD project funded by the Iraq Government.","http://envirowatch.ltd.uk","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56d60aefcfb8f3.25037858&grantRef=EP%2FH051791%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H051791/1","50B33CFB-EB2C-40AC-955B-4C9AB8B64EFB","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","519CF60E-996E-4A92-BB64-273C274CEB54"
"EPSRC","EP/F027923/1","Research Grant","Spin Outs","University College London","London Centre for Nanotechnology","Skipper","Neal","","Cella Energy","Cella Energy Ltd is a UK registered company based in Oxfordshire with a wholly owned subsidiary, Cella Energy US Inc., registered in Delaware, USA. Cella has offices and a laboratory at the Rutherford Appleton Laboratory and similar facilities located in the Space Life Sciences Laboratory at the NASA Kennedy Space Center in Florida, USA.","2011","During the first two years, the Company developed the material and production methods to the point where it is now able to make meaningful quantities (50 kg a day) and, with its partners developed two demonstration power supplies: one for an unmanned aerial vehicle and larger one suitable for automotive or aerospace applications.","http://cellaenergy.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=546dd33849f7a3.69906918&grantRef=EP%2FF027923%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/F027923/1","409C2975-219D-41C2-BE6A-72A84DFA2F76","798CB33D-C79E-4578-83F2-72606407192C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","C99B47C0-515F-44A9-BFD3-15E549BF14DD"
