"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Type","Current Stage of Development","Clinical Trial?","UKCRN/ISCTN ID","Year Development Stage Completed","Development Status","Description","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"MRC","MC_G0900865","Intramural","Products Interventions & Clinical Trials","King's College London",,"Bevan","Stuart","","A Repeatable and Objective Behavioural Assay of Anxiety in Humans","Support Tool - For Medical Intervention","Refinement.  Non-clinical","",,"2011","Under active development/distribution","The Joystick Operated Runway Task is now being tested with anxiety patients with a view to being used to characterize treatment response.","We have proved the joystick task is sensitive to the established anti-anxiety drug lorazepam so the task can now be used to test new drugs for anti-anxiety properties",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=VWtYVCwdJqM&grantRef=MC_G0900865","http://gtr.rcuk.ac.uk:80/projects?ref=MC_G0900865","BA7FE3D2-A298-43B5-A16B-2F5A2FFE163C","C008C651-F5B0-4859-A334-5F574AB6B57C","318B5D98-4CB4-4B10-A876-08FC93071A56","D527967C-F2CF-4E39-928E-B7A6E847C7B1"
"MRC","G1100684","Research Grant","Products Interventions & Clinical Trials","University of Oxford","Tropical Medicine","Day","Jeremy","","CryptoDex Study","Therapeutic Intervention - Drug","Late clinical evaluation","Yes","ISRCTN59144167","2012","Under active development/distribution","A randomised placebo controlled trial of adjunctive treatment wit dexamethasone in HIV associated cryptococcal meningitis.","This is an on-going clinical trial that beagn recruiting patients across 6 countries in February 2013. The estimated date for follo-wup completion is 2015/16. This is the first ever RCT of adjunctive treatment in cryptococcal meningitis and will be the largest ever RCT in cryptococcal disease.","http://www.controlled-trials.com/ISRCTN59144167/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=KbwtR8wbxpb&grantRef=G1100684","http://gtr.rcuk.ac.uk:80/projects?ref=G1100684","3EF699FB-6BE5-4737-B030-3CFFC9A7823B","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","01478514-975B-4C23-A8CC-65E12F8AE90D"
"MRC","G0502131","Research Grant","Products Interventions & Clinical Trials","University of Sheffield","Medicine and Biomedical Science","Crossman","David Christopher","","MRCI ILA HEART","Therapeutic Intervention - Drug","Early clinical assessment","Yes","ISRCTN89369318","2013","Closed","Investigation of IL-1ra in myocardial infarction","Manuscript in submission","http://www.controlled-trials.com/ISRCTN89369318","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=NSFT8WeFeoT&grantRef=G0502131","http://gtr.rcuk.ac.uk:80/projects?ref=G0502131","4E5C2F05-C315-4467-8206-3AE60A3DC3E7","C008C651-F5B0-4859-A334-5F574AB6B57C","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","C2E64120-80D5-4104-A586-83BC77F88552"
"MRC","MC_UU_12023/28","Intramural","Products Interventions & Clinical Trials","University College London",,"Langley","Ruth","","Add-Aspirin clinical trial","Therapeutic Intervention - Drug","Late clinical evaluation","",,"2015","Under active development/distribution","The Add-Aspirin trial opened to recruitment in the UK in 2015 - it will investigate whether regular aspirin following treatment for an early stage common cancer can prevent recurrence and improve survival. Recruitment is currently ongoing. Funding for the trial is being provided by Cancer Research UK and the NIHR Heath Technology Assessment Programme.","None as yet.","http://www.addaspirintrial.org/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56db7475f3a746.03421445&grantRef=MC_UU_12023%2F28","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UU_12023/28","1BCAF1CB-1489-449B-9E2A-2AD84EE6D661","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","3591B22B-5D64-4E64-88AB-6FF834EBF6BF"
"MRC","MC_UU_12023/28","Intramural","Products Interventions & Clinical Trials","University College London",,"Langley","Ruth","","PATCH trial Progynova sub-study","Therapeutic Intervention - Drug","Early clinical assessment","",,"2015","Under active development/distribution","Until recently, the patch brand solely used in the PATCH trial was FemSeven. However, it is known that there are differences in the pharmacokinetic properties between different brands of patches. Therefore, a small sub-study embedded within the main trial is currently underway to evaluate an alternative brand of patches, namely the Progynova TS. This is to confirm the appropriate dose regimen for the Progynova for achieving castrate levels of testosterone within this setting. The primary outcome measure is castration rate at 12 weeks. Approximately 70 patients are to be randomised in allocation ratio 2:1 of patches:LHRHa. The sub-study is expected to be completed around end 2016.","Results from the sub-study will be important for ensuring the long-term supply of the patches for the main PATCH trial, and broaden the re-purposing element of the study.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56d57ba9b5ff13.83842041&grantRef=MC_UU_12023%2F28","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UU_12023/28","1BCAF1CB-1489-449B-9E2A-2AD84EE6D661","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","3591B22B-5D64-4E64-88AB-6FF834EBF6BF"
"MRC","MC_PC_12003","Intramural","Products Interventions & Clinical Trials","University of Oxford",,"Humphreys","Tim","","Proposed treatment for histone H3K36me3-deficient cancers","Therapeutic Intervention - Drug","Refinement.  Non-clinical","",,"2015","Under active development/distribution","Our studies indicate that patients with histone H3K36me3-deficient cancers would benefit from treatment with the WEE1 inhibitor, AZD1775 (Pfizer et al., Cancer Cell, 2015)","We anticipate that the use of WEE1 inhibitors as a treatment for histone H3K36me3-deficient cancers will be taken into clinical trials.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56e01e7036ed92.75459770&grantRef=MC_PC_12003","http://gtr.rcuk.ac.uk:80/projects?ref=MC_PC_12003","091107B4-012E-4536-8976-36C39698D4B6","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","9B967815-172A-452E-A820-65B16A7525C8"
"MRC","G0902206","Research Grant","Products Interventions & Clinical Trials","University College London","Institute of Ophthalmology","Moss","Stephen","","Magacizumab","Therapeutic Intervention - Drug","Refinement.  Non-clinical","",,"2015","Under active development/distribution","Magacizumab is a humanised monoclonal antibody against LRG1 that is currently being developed with a view to a 'first in man' study in age-related macular degeneration. The antibody inhibits angiogenesis, and as such may also be useful in the treatment of certain cancers. The work to develop the antibody was funded by a DPFS award from the MRC, and a subsequent clinical trials grant from the MRC is now supporting the onward development of the antibody for testing in age-related macular degeneration.","Our antibody has shown impressive efficacy in pre-clinical studies in combination with Eylea, an anti-angiogenic biologic that targets a different angiogenic pathway. This is important because it increases the potential value of our product and supports the design of our proposed first in man study. The antibody is also showing promising efficacy in two mouse tumour models.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=5458dd52d5b5d9.35904822&grantRef=G0902206","http://gtr.rcuk.ac.uk:80/projects?ref=G0902206","D15C1D6B-7526-46F9-A455-2A8CA7CF4A8C","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","A32BD451-FBEB-4F05-BEE2-18D6B4FEAB77"
"MRC","G84/6495","Fellowship","Products Interventions & Clinical Trials","University of Leeds","Leeds Institute of Molecular Medicine","Uppal","Sandeep","","Monitoring NSAID therapy in pachydermoperiostosis","Management of Diseases and Conditions","Initial development","",,"2013","On hold","Primary hypertrophic osteoarthropathy (PHO, pachydermoperiostosis) is a defect of prostaglandin (PG) metabolism. Measurement of PGE2 excretion in the urine can now be used to monitor pharmaceutical suppression of the defect.
See P69 in URL.","Allows titration of therapy against a biomarker directly responsible for the disease.","http://www.bsgm.org.uk/media/776072/bsgm_2013_-_programme.pdf","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=dhZVwVuwiTt&grantRef=G84%2F6495","http://gtr.rcuk.ac.uk:80/projects?ref=G84/6495","A390086F-D521-44AD-843C-334C4FF5EE4B","C008C651-F5B0-4859-A334-5F574AB6B57C","83D87776-5958-42AE-889D-B8AECF16B468","F3EE6643-D4FB-4083-B8F1-46833EDAF29E"
"EPSRC","EP/F012764/1","Research Grant","Products Interventions & Clinical Trials","Newcastle University","Institute of Cellular Medicine","Murray","Alan","","Medical device","Diagnostic Tool - Non-Imaging","Refinement.  Non-clinical","",,"2016","Actively seeking support","Patent submitted, and funding for next stage applier for","Better diagnosis",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56bca3caba4332.62143918&grantRef=EP%2FF012764%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/F012764/1","7E86CF9C-9D3B-43AC-AAC6-2B1CB3383409","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","093E732C-1929-4DFF-8301-4C8CC31152D8"
"MRC","MC_U135097132","Intramural","Products Interventions & Clinical Trials","MRC Institute of Hearing Research",,"Seeber","Bernhard","","SSD","Management of Diseases and Conditions","Late clinical evaluation","Yes","UKCRN 14261","2013","Under active development/distribution","Clinical trial of the efficacy and cost efficiency for using cochlear implants in patients with single sided deafness.","clinical trial has started, evaluation ongoing","http://public.ukcrn.org.uk/Search/StudyDetail.aspx?StudyID=14261","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=d6r7YG3gKDd&grantRef=MC_U135097132","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U135097132","4F6C8279-0E17-4720-A20D-2DE7D9B3FE29","C008C651-F5B0-4859-A334-5F574AB6B57C","C4145C68-58B8-441E-86DD-A4079B65B478","35F9E85F-39BD-4DB1-B316-DBF8FAD99979"
"MRC","MR/K005537/1","Research Grant","Products Interventions & Clinical Trials","University College London","Neuroscience Physiology and Pharmacology","Smart","Trevor Graeme","","Photoactive chemical probes","Therapeutic Intervention - Drug","Initial development","",,"2015","Under active development/distribution","Photoactive compounds capable of irreversibly modifying the function of GABA receptors","Potential appication in epilepsy and cognition. Compounds allow tracking of natvie GABA receptors in real time.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=h1HoA4mSxTs&grantRef=MR%2FK005537%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/K005537/1","CDEEDAB4-1E3C-4AB4-8577-239C6AAD484F","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","78132E4B-F641-45DF-A5A9-D1CF2558D7C4"
"MRC","MC_UU_12024/1","Intramural","Products Interventions & Clinical Trials","University of Oxford",,"Brown","Peter","","adaptive brain stimulation","Therapeutic Intervention - Medical Devices","Refinement.  Clinical","",,"2013","Under active development/distribution","Funded by MRC","Interest from Industry, and press.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=Vmp96fnZ5Qi&grantRef=MC_UU_12024%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UU_12024/1","ADD16CF5-3175-486B-890D-3B2B7F2CB47C","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","3F2AEDA2-09F2-4160-8A5F-0A991DECC3E3"
"MRC","MC_U120074271","Intramural","Products Interventions & Clinical Trials","MRC Clinical Sciences Centre",,"Soutar","Anne","","DNA based diagnosis","Diagnostic Tool - Non-Imaging","Initial development","",,"2010","On hold","Development of mutation screening and detection methods for DNA-based diagnosis of familial hypercholesterolaemia (FH), and contributed to pilot studies for national cascade screening","Cascade screening for FH now recommended by NICE.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=CDF2CEDC9E8&grantRef=MC_U120074271","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U120074271","CA950EF5-3905-4D77-8526-412B27AFD35F","C008C651-F5B0-4859-A334-5F574AB6B57C","64BC5E73-972F-41E1-A12C-D97DC9BDFB93","126192C0-C75D-45A6-A222-01C6419441C0"
"EPSRC","EP/I019103/1","Research Grant","Products Interventions & Clinical Trials","University of Leeds","Mechanical Engineering","Fisher","John","","acellular dcell vascular patch","Therapeutic Intervention - Medical Devices","Small-scale adoption","",,"2010","Under active development/distribution","licensed to and commercialised by Tissue Regenix","First dcell clinical product",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=543529e7c73b95.32482026&grantRef=EP%2FI019103%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I019103/1","C856DA7B-701F-418D-A3D3-092CAF59E2AB","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","2DD4AB06-923B-44AF-AA55-1A50255C1FBE"
"EPSRC","EP/I019103/1","Research Grant","Products Interventions & Clinical Trials","University of Leeds","Mechanical Engineering","Fisher","John","","acellular bone cartilage osteochondral graft","Therapeutic Intervention - Medical Devices","Initial development","",,"2015","Under active development/distribution","under development NHSBT","under development",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=54352f2af21c65.57174691&grantRef=EP%2FI019103%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I019103/1","C856DA7B-701F-418D-A3D3-092CAF59E2AB","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","2DD4AB06-923B-44AF-AA55-1A50255C1FBE"
"MRC","G1001750","Research Grant","Products Interventions & Clinical Trials","University of Birmingham","Sch of Biosciences","Besra","Gurdyal Singh","","galactosyl ceramide derivatives","Therapeutic Intervention - Drug","Initial development","",,"2009","Actively seeking support","New derivatives of galactosyl ceramide to promote Th1 responses, and cross-talk between NKT and B cells","None",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=BEC79DC4369&grantRef=G1001750","http://gtr.rcuk.ac.uk:80/projects?ref=G1001750","DE0E52F8-86E0-4C66-85B2-09A687E5BF3A","C008C651-F5B0-4859-A334-5F574AB6B57C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","9729A4DB-2FB1-40BC-8B89-E8FA153AD4C2"
"MRC","G0902155","Research Grant","Products Interventions & Clinical Trials","Lancaster University","Division of Health Research","Popay","Jennie","","online resource - Public Involvement Impact Assessment Framework (PiiAF)","Support Tool - For Fundamental Research","Small-scale adoption","",,"2013","Actively seeking support","our project will result in a conceptual framework to help people develop robust approaches to assessing the impact of public involvement in their research and associated guidance on how best to use this framework. we are currently developing these products in paper format but will be seeking additional funding to develop a web based resource","there are none yet but eventually the impact should be more extensive and higher quality assessment of the impacts of public involvement in research and maximisation of positive impacts and avoidance of negative impacts.","http://piiaf.org.uk/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=QjuTPaKbJYE&grantRef=G0902155","http://gtr.rcuk.ac.uk:80/projects?ref=G0902155","8ADA3D1F-B32B-4A5C-95B7-0AD18985A105","C008C651-F5B0-4859-A334-5F574AB6B57C","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","E7EED582-97D5-41AF-9BD4-C4313C405D33"
"MRC","G0700656","Research Grant","Products Interventions & Clinical Trials","University of Dundee","College of Life Sciences","Alessi","Dario","","LRRK2 assay","Support Tool - For Medical Intervention","Initial development","",,"2009","Under active development/distribution","New optimised assay to assess LRRK2 function","Patent filed by MRC. Many companies using this assay for drug screening programs to develop LRRK2 inhibitors for the treatment of Parkinson's disease",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=6CE302E1FE2&grantRef=G0700656","http://gtr.rcuk.ac.uk:80/projects?ref=G0700656","B180B242-2F7F-4CC9-A2C5-50B9271A1BDC","C008C651-F5B0-4859-A334-5F574AB6B57C","90051600-6EF2-4093-BA8C-2B4B6F550895","72718A07-381C-49BC-9020-91787ED4EA7F"
"MRC","G0601461","Research Grant","Products Interventions & Clinical Trials","University of Bristol","Medicine & Chemistry","Nutt","David","","noradrenaline receptor ligands","Diagnostic Tool - Imaging","Initial development","",,"2010","Under active development/distribution","still under evalauaiton in larger species","liklely diagnostic and tranlational medicine utility if the tracer proves viable",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=TqZ9ufn4EqE&grantRef=G0601461","http://gtr.rcuk.ac.uk:80/projects?ref=G0601461","FA3389E6-E3A6-4165-91B6-645BCEF47FA0","C008C651-F5B0-4859-A334-5F574AB6B57C","4A348A76-B2D0-4DDD-804A-CE735A6D3798","C67373B7-D390-4D49-BD31-1280BA65D1F5"
"MRC","MR/M014290/1","Research Grant","Products Interventions & Clinical Trials","South African Medical Research Council","Alcohol, Tobacco and Other Drug Research","Myers","Bronwyn","","Blended motivational interviewing and problem solving treatment for depression and problem alcohol use among patients with HIV or diabetes","Therapeutic Intervention - Psychological/Behavioural","Early clinical assessment","",,"2016","Under active development/distribution","We have adapted a previously tested intervention for use in HIV and chronic disease services. The intervention is a three session intervention (with an additional booster session) and focuses on improving readiness for change and building problem solving skills to facilitate reductions in depression and alcohol use and adherence to treatment. The intervention has been adapted. The next stage is piloting the intervention in health care settings, prior to implementation in primary health care clinics. MRC-UK is the primary source of funding for this development.","Still under development",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56de717cbdc910.64158830&grantRef=MR%2FM014290%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/M014290/1","DA2DE10E-AC26-469D-BA0A-51E2D2CE6E06","C008C651-F5B0-4859-A334-5F574AB6B57C","333B02B3-45C9-4052-BE7D-B46E365D1F96","900A532B-2CFB-48B8-A6D9-AD06F3E901FF"
"MRC","MC_EX_G0800464","Fellowship","Products Interventions & Clinical Trials","MRC Cancer Cell Unit",,"Murray","Matthew Jonathan","","EpSSG clinical trials","Diagnostic Tool - Non-Imaging","Initial development","",,"2013","Under active development/distribution","EpSSG group is planning new European prospective clinical trials of paediatric soft-tissue sarcoma. They wish to consider including diagnostic and disease-monitoring serum microRNAs in their study, and so have asked me to give a presentation at their meeting in Barcelona in December 2013.","Impact awaited.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=hC6ChsCYZzP&grantRef=MC_EX_G0800464","http://gtr.rcuk.ac.uk:80/projects?ref=MC_EX_G0800464","533B625F-E469-4692-BF43-51FD1843857B","C008C651-F5B0-4859-A334-5F574AB6B57C","7369E051-ECFC-4808-A044-651879C318D1","9A125B10-2A83-4B24-B5F6-DF68D52D9381"
"EPSRC","EP/F011547/1","Research Grant","Products Interventions & Clinical Trials","University of Oxford","Engineering Science","Coussios","Constantin","","TarDox","Therapeutic Intervention - Drug","Early clinical assessment","Yes","2014-000514-61","2014","Under active development/distribution","Non-invasive targeted doxorubicin delivery from thermosensitive liposomes using high-intensity focussed ultrasound in cancer patients with metastases to the liver. 

This is a first-in-man trial enabled by the work carried out under my Challenging Engineering award and supported by the Oxford BRC (NIHR). Five patients have been treated to date, with up to another 23 scheduled to be treated in the next 12 months.","Clinical trial still under way","https://clinicaltrials.gov/ct2/show/NCT02181075","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=5463f6dce87842.06734425&grantRef=EP%2FF011547%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/F011547/1","7F3AFFA4-08FC-4331-AFBA-4D7CFDF44102","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","BE060C1C-7FDA-4E37-AB7D-73E0E67C6492"
"MRC","G0800792","Research Grant","Products Interventions & Clinical Trials","University of Liverpool","Medical Statistics and Health Evaluation","Williamson","Paula","","DIRUM website","Support Tool - For Fundamental Research","Small-scale adoption","",,"2011","Under active development/distribution","The DIRUM (Database of Instruments for Resource Use Measurement) website provides a practical, open-access database of resource-use questionnaires for use by trial health economists. The website is currently live. The website received funding from the MRC Network of Hubs for Trials Methodology Research.","Since its launch on 6 June 2011 to 14 November 2011 the website has had 1971 visits and 440 downloads.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=T6iNxMh8o4u&grantRef=G0800792","http://gtr.rcuk.ac.uk:80/projects?ref=G0800792","059B90EB-105D-452A-BB33-51ADD5F2A1E2","C008C651-F5B0-4859-A334-5F574AB6B57C","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","C5D38AFF-0D8F-4D11-B91B-7954A21AF259"
"MRC","MR/J010731/1","Research Grant","Products Interventions & Clinical Trials","Imperial College London","Dept of Medicine","Bloom","Stephen","","Analogue of oxyntomodulin","Therapeutic Intervention - Drug","Early clinical assessment","",,"2014","Under active development/distribution","Oxyntomodulin analogue for treatment of diabetes and obesity
Supported by MRC DCS","N/A",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=5461352ebcb7d6.43207034&grantRef=MR%2FJ010731%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/J010731/1","06B1F7C9-20D6-48C1-AD43-532D18AF96E7","C008C651-F5B0-4859-A334-5F574AB6B57C","46387D84-F71E-4B7D-8C7D-9C288F113510","8BCD7228-A8CE-4BEA-9B7E-3B061A3E753B"
"MRC","G116/143","Fellowship","Products Interventions & Clinical Trials","University College London","UNLISTED","Fox","Nick","","Boundary Shift Integral","Diagnostic Tool - Imaging","Small-scale adoption","",,"2009","Under active development/distribution","An improved method for measuring rates of brain atrophy","Adopted in a number (&gt;20 since 1996) of international clinical trials",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=425ADDD8A82&grantRef=G116%2F143","http://gtr.rcuk.ac.uk:80/projects?ref=G116/143","66404116-6DC1-4EDB-9498-6C4545E78EE9","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","73771842-1F5F-417D-B3E9-1C95161A8FA9"
"MRC","MC_U130184144","Intramural","Products Interventions & Clinical Trials","MRC Virology Unit",,"Patel","Arvind","","Mouse monoclonal antibody (MAb) AP33 and its humanized derivative, MRCT10","Therapeutic Intervention - Drug","Initial development","",,"2007","Actively seeking support","MAb AP33 recognizes a highly conserved linear region of the hepatitis C virus E2 glycoprotein which is essential for virus entry into target cells. This antibody blocks the interaction of E2 with CD81, a cellular receptor essential for virus entry. It also neutralizes infection of cells with diverse viral genotypes and subtypes. Given its broadly neutralizing properties, MAb AP33 was humanized in collaboration with the MRCT Therapeutic Antibody Group. The latter is currently being considered for clinical trials in HCV-infected liver transplant recipients.","The humanised MAb AP33, called MRCT10, is expected to be of direct clinical benefit for passive immunotherapy to reduce the risk of HCV infection after needlestick or other accidental exposure, and in the liver-transplant setting to reduce the incidence of graft re-infection. Furthermore, given its broadly neutralising properties, the epitope recognised by MAb AP33/MRCT10 can be considered a valid lead for vaccine design.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=87316F65C2F&grantRef=MC_U130184144","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U130184144","915B448F-390D-4F24-A04A-6D23020EB3EE","C008C651-F5B0-4859-A334-5F574AB6B57C","44CDAA37-A000-4CC6-B623-C2C78D4F916B","FD4FAE5E-DF64-432D-9924-15655316696B"
"MRC","MC_U123292699","Intramural","Products Interventions & Clinical Trials","MRC Unit, The Gambia",,"Prentice","Andrew","","KEMRes","Support Tool - For Medical Intervention","Late clinical evaluation","",,"2011","Under active development/distribution","Keneba Electronic Medical Registration System","KEMReS forms a vital part of our research patient selection as well as providing improved care fro our patient population.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=BxQQFRrnFrK&grantRef=MC_U123292699","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U123292699","72AB70B4-0E2D-407F-91C6-6AD05077E229","C008C651-F5B0-4859-A334-5F574AB6B57C","6083E7FB-0220-4F5F-97B0-7F6113B49A0C","8FE065AB-86A4-424E-A8D0-A3AA20F671B7"
"MRC","MC_PC_12012","Intramural","Products Interventions & Clinical Trials","University of Cambridge",,"Maxwell","Patrick","","Davenport et al","Therapeutic Intervention - Drug","Refinement.  Non-clinical","",,"2014","Under active development/distribution","Confidential","TBC",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=546254ca7c6294.53724609&grantRef=MC_PC_12012","http://gtr.rcuk.ac.uk:80/projects?ref=MC_PC_12012","97E8CEC6-D738-4A91-9118-61BC8FB91B4A","C008C651-F5B0-4859-A334-5F574AB6B57C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","FC381D2E-B59F-4997-BF2B-D435B2966717"
"MRC","MC_PC_12012","Intramural","Products Interventions & Clinical Trials","University of Cambridge",,"Maxwell","Patrick","","Rubinzstein","Therapeutic Intervention - Drug","Initial development","",,"2014","Actively seeking support","Confidential","TBC",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=546253d4c93583.53467908&grantRef=MC_PC_12012","http://gtr.rcuk.ac.uk:80/projects?ref=MC_PC_12012","97E8CEC6-D738-4A91-9118-61BC8FB91B4A","C008C651-F5B0-4859-A334-5F574AB6B57C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","FC381D2E-B59F-4997-BF2B-D435B2966717"
"MRC","MC_PC_12012","Intramural","Products Interventions & Clinical Trials","University of Cambridge",,"Maxwell","Patrick","","Fearon & Jodrell","Therapeutic Intervention - Drug","Refinement.  Non-clinical","",,"2014","Under active development/distribution","Detail TBC - confidentiality unclear
Stand up to cancer award obtained to fund clinical trial","TBC",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=546252c83b0143.31313454&grantRef=MC_PC_12012","http://gtr.rcuk.ac.uk:80/projects?ref=MC_PC_12012","97E8CEC6-D738-4A91-9118-61BC8FB91B4A","C008C651-F5B0-4859-A334-5F574AB6B57C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","FC381D2E-B59F-4997-BF2B-D435B2966717"
"MRC","MR/J002097/1","Research Grant","Products Interventions & Clinical Trials","University of Bristol","Cellular and Molecular Medicine","Blocker","Ariel","","Peptide-based inhibitors of T3SS assembly or function","Therapeutic Intervention - Drug","Initial development","",,"2013","Actively seeking support","Presently confidential. Being performed with assistance of MRC Technology and Wellcome Trust funding from the Elisabeth Blackwell Institute at the University of Bristol.","Not applicable yet",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=ENAGN9X4QdK&grantRef=MR%2FJ002097%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/J002097/1","36A5FE62-C280-4089-AF9E-540378BCAF92","C008C651-F5B0-4859-A334-5F574AB6B57C","4A348A76-B2D0-4DDD-804A-CE735A6D3798","52818C77-4685-4862-8524-ECA0EA07CC3D"
"MRC","G0701013","Research Grant","Products Interventions & Clinical Trials","University of Exeter","Psychology","Richards","David","http://orcid.org/0000-0002-8821-5027","CADET: Collaborative Care","Management of Diseases and Conditions","Late clinical evaluation","Yes","ISRCTN32829227","2013","Closed","Collaborative care, including depression education, drug
management, behavioural activation, relapse prevention, and primary care liaison, was delivered by care managers. Collaborative care involved six to 12 contacts with participants over 14 weeks, supervised by mental health specialists.","Will be considered in update of NICE guidelines",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=BjHmmLJrS7S&grantRef=G0701013","http://gtr.rcuk.ac.uk:80/projects?ref=G0701013","3E1B6248-6AAC-4779-9D89-55E4FA087F34","C008C651-F5B0-4859-A334-5F574AB6B57C","961756BF-E31F-4A13-836F-0A09BA02385C","68525E0B-5A52-47AE-BFAA-2ED60DE80D51"
