"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Protection","IP Reference","Year Protection Granted","Licensed?","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/G030480/1","Research Grant","Intellectual Property","University of Cambridge","Engineering","Ferrari","Andrea","","Superconducting materials","Partially or fully saturated doped graphene materials are found to be superconducting. The saturation is with hydrogen or halogen. Doping is performed by substitution of carbon atoms or by applying an electric field. Diamond nano-rods are also found to be superconducting. These materials can be used in electronic devices having a gate.","Patent application published","US13/019779","","Commercial In Confidence","N/A",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=54649dd21cc0b5.91698280&grantRef=EP%2FG030480%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/G030480/1","DFBA70E4-EBBB-4144-BE64-2464EA0A4E36","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","CF1565B8-F3ED-4269-9207-ED06C96373B8"
"MRC","MC_UP_A620_1014","Intramural","Intellectual Property","MRC Lifecourse Epidemiology Unit",,"Cooper","Cyrus","","Identification of perinatal epigenetic marks associated with later neuropsychological function","Identification of perinatal epigenetic marks associated with later neuropsychological function.","Patent application published","WO2010086663","2013","No","Two abstracts and paper in preparation.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=TajQM6shiL4&grantRef=MC_UP_A620_1014","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UP_A620_1014","E5B0C0B1-8A75-4103-9DBF-366CF5BA4EC1","C008C651-F5B0-4859-A334-5F574AB6B57C","5480E523-2DDE-401D-AD42-36E43161A724","EA2F586A-F0AF-4CC1-A4DB-876C3C335071"
"MRC","MC_UP_A620_1014","Intramural","Intellectual Property","MRC Lifecourse Epidemiology Unit",,"Cooper","Cyrus","","Phenotype Prediction","Amended claims: total body lean mass and/or percentage lean mass or a disease condition associated therewith including sarcopenia; and impaired skeletal development associated with reduced bone mineral content or a disease condition associated with low bone mineral content such as osteoporosis. RXRA, CDKN2A","Patent application published","EU: 10150772.1","","No","EpiGen Consortium",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56ba64b507b660.08003866&grantRef=MC_UP_A620_1014","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UP_A620_1014","E5B0C0B1-8A75-4103-9DBF-366CF5BA4EC1","C008C651-F5B0-4859-A334-5F574AB6B57C","5480E523-2DDE-401D-AD42-36E43161A724","EA2F586A-F0AF-4CC1-A4DB-876C3C335071"
"MRC","MC_UP_1102/4","Intramural","Intellectual Property","MRC Clinical Sciences Centre",,"Krishnan","Jaya","","Treatment of heart disease through modulation of hypoxia-induced eRNA activity","Identification of a heart-specific, stress-induced non-coding RNA exhibiting a role in modulating transition to disease in heart cells.","Patent application published","INSUFFICIENT INFORMATION","2013","No","None at present.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=WS2wq1Dxt8X&grantRef=MC_UP_1102%2F4","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UP_1102/4","E6422C9B-C2A4-4707-AD38-32C4CEA6D82A","C008C651-F5B0-4859-A334-5F574AB6B57C","64BC5E73-972F-41E1-A12C-D97DC9BDFB93","7197FFE5-A6A9-484F-9266-9F2CB9DEA4CB"
"BBSRC","BB/F019742/1","Research Grant","Intellectual Property","University of Reading","Pharmacy","Connon","Che","http://orcid.org/0000-0001-8264-6531","SYNTHETIC GRAFT","The present invention relates to the use of a plastically-compacted collagen gel as a substrate for the growth of corneal cells, particularly limbal corneal epithelial stem cells. Cells grown on such a substrate can be cultured to produce artificial ocular epithelia which can be used in ocular toxicity testing or for transplantation.","Patent application published","WO/2010/133853, WO2010133853","2010","Commercial In Confidence","Development of model system which underpins MRC grant and research into corneal biology",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-9415211900.52406176691456&grantRef=BB%2FF019742%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/F019742/1","FB324F0B-2115-4A84-B91B-2BC0352214E1","2512EF1C-401B-4222-9869-A770D4C5FAC7","E89C3602-0FB4-4044-A918-58966B8A10B2","D3E3D133-1E85-47C0-8DDB-D90CB8795ED7"
"BBSRC","BB/E007384/1","Research Grant","Intellectual Property","Cardiff University","School of Biosciences","Jones","Dafydd","","POLYPEPTIDE MUTAGENESIS METHOD","There is provided a method for altering the amino acid sequence of a target polypeptide by altering a target DNA sequence which encodes that polypeptide, the method comprising the step of introducing a transposon into the target DNA sequence, in which the transposon comprises a first restriction enzyme recognition sequence towards each of its termini, the recognition sequence not being present in the remainder of the transposon, or in the target DNA sequence, or in a construct comprising the target DNA sequence, the first restriction enzyme recognition sequence being recognised by a first restriction enzyme which is an outside cutter and being positioned such that the first restriction enzyme has a DNA cleavage site positioned beyond the end of the terminus of the transposon.","Patent application published","WO/2006/077411, WO2006077411","2006","Yes","The generation of new and useful fluorescent proteins.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-8997911493.29199676691104&grantRef=BB%2FE007384%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/E007384/1","4DCD7DA7-F0C2-45A0-81FF-3A6226399D8E","2512EF1C-401B-4222-9869-A770D4C5FAC7","9C10D78F-6430-4CA7-9528-B96B0762A4C6","9CC82837-C768-4B1B-9C41-11EF645DD87A"
"MRC","G0100536","Research Grant","Intellectual Property","University of Dundee","Biological Sciences","Watts","Colin","","Patent application made","We have shown that blockade of the kinase Rsk suppresses the production of inflammatory cytokines. Since Rsk has not previously been linked in this way to immune overreactions we have filed an application to protect Rsk as a novel anti-inflammatory target","Patent granted","WO2009040512","2009","No","This finding is currently unpublished so no notable impacts yet.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=65B7231911B&grantRef=G0100536","http://gtr.rcuk.ac.uk:80/projects?ref=G0100536","4EA1BAC1-8ED8-4738-AA01-37CB784EF4E4","C008C651-F5B0-4859-A334-5F574AB6B57C","90051600-6EF2-4093-BA8C-2B4B6F550895","CE111F08-A99D-413C-A205-1AEAF8376B5B"
"EPSRC","EP/G015325/1","Research Grant","Intellectual Property","University of Leeds","Centre for Molecular Nanoscience","Nelson","Laurence","","Biosensor","This patent describes a high throughput on line screener for biomembrane activity of organic compounds.","Patent application published","Application number PCT/GB2008/002591","2007","Yes","The IP was licensed to Modern WaterPLC in 2010. The license was revoked in 2012. The main impact of this patent is the forming of successful on-going collaboration with Unilever and also the continuing collaborations with MicroLab Devices Ltd, Analox Ltd and PALL (Europe). The patent technology formed the basis of a recent successful Horizon 2020 bid with 10 other partners due to start April 1 this year.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-1984060306.08719257663c028&grantRef=EP%2FG015325%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/G015325/1","7B0A67E8-AA12-46F6-BC77-34B47B58F94D","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","57DED8E0-1C73-4CA4-A329-B80A1EFEE131"
"NERC","noc010015","Intramural","Intellectual Property","National Oceanography Centre",,"Bell","Paul","","Licensing of Marine Radar-derived current mapping algorithms","This relates to a new and robust algorithm for the mapping of ocean currents by extracting the Doppler shift of ocean waves from the radar backscatter imagery. The underlying principle is not a new one, but the algorithm for extracting the information is novel. This was developed during the FLOWBEC project, was also used during the PentlandX project and has now been licensed to the FORCE Tidal Energy Test Centre to use at their test site overlooking the Minas Passage in Nova Scotia, Canada.","Copyrighted (e.g. software)",,"","Yes","The licensed algorithms will provide current vector maps across the FORCE test site enabling near real time monitoring when sufficient wave signatures are present on the radar imagery. These data will support the development of a localised, measured Tidal Current Atlas, which will support turbine installation location decisions and provide the context for assessments of turbine efficiency, and contribute to model validation exercises.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56de9f42f31390.82507647&grantRef=noc010015","http://gtr.rcuk.ac.uk:80/projects?ref=noc010015","D3248A56-6F2F-41B7-BCB6-295FA0B1E8B3","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4DB630C7-7E13-4610-A1C3-29601903CEE3","EE08795A-8022-44FA-885F-3CFBCD11F74D"
"MRC","G0902206","Research Grant","Intellectual Property","University College London","Institute of Ophthalmology","Moss","Stephen","","Treatment of Vasculoproliferative Conditions","The invention is in the field of molecular physiology and relates to the use of antagonists of Leucine-rich alpha-2-glycoprotein 1 (Lrg1) for use in the treatment or prevention of vasculoproliferative conditions, particularly in the eye.","Patent granted","WO2011027129","2011","No","None as yet",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=FYMSmrnqU5g&grantRef=G0902206","http://gtr.rcuk.ac.uk:80/projects?ref=G0902206","D15C1D6B-7526-46F9-A455-2A8CA7CF4A8C","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","A32BD451-FBEB-4F05-BEE2-18D6B4FEAB77"
"EPSRC","EP/H007784/1","Research Grant","Intellectual Property","University of Birmingham","Chemical Engineering","Leeke","Gary","","INHIBITION OF MICROBIAL AND CELLULAR GROWTH IN SUBSTANCES","The invention provides a method of treating a food, beverage or cosmetic to inhibit microbial or cellular growth, comprising subjecting the substance to low frequency ultrasound under elevated gas pressure at between 10 and 100 bar, more typically 20 and 500 bar. Also provided is an apparatus for treating a substance which is a food, beverage or cosmetic to inhibit microbial or cellular growth in the food, beverage or cosmetic comprising : (i) a substance inlet (ii) a pressurisation zone, the pressurisation zone comprising a pressurising gas inlet and low frequency ultrasonic generator; and (iii) a depressurisation zone.","Patent application published","WO2015052506","2015","No","None as yet",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=5461fec6b10142.84541107&grantRef=EP%2FH007784%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H007784/1","FBB6C5F1-202A-4B2F-B1F4-3249CCB650D8","798CB33D-C79E-4578-83F2-72606407192C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","E5FA8E8E-280C-456D-AF29-D4045C2328ED"
"EPSRC","EP/I032606/1","Research Grant","Intellectual Property","University of Aberdeen","Physics","Baptista","Murilo da Silva","","Wireless Communication and Transmission Encoding Method","This patent describes the technical details to create a wireless communication system based on chaos, whose theoretical idea was published in a paper partially supported by this EPSRC grant. Hai-Peng Ren, M. S. Baptista, C. Grebogi, Wireless communication with chaos, Phys. Rev. Lett., 110, 184101 (2013).","Patent application published","1307830.8","","No","We have recently applied to a NERC Technology Proof of Concept grant to test the technological idea of the patent to create a sustainable and whale friendly underwater wireless communication system",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56db02b8bbc356.91253347&grantRef=EP%2FI032606%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I032606/1","D9D5D6B0-8975-4FBB-AA0C-28869641C272","798CB33D-C79E-4578-83F2-72606407192C","F7E13617-2678-475B-99E4-31479C92038D","014A6AA5-FFC5-47FC-8685-06D354D6BFF6"
"BBSRC","BB/H01974X/1","Research Grant","Intellectual Property","Durham University","Biological and Biomedical Sciences","Weinkove","David","http://orcid.org/0000-0001-7399-1202","Folate synthesis inhibitors to slow onset of chronic disease and ageing","We have found that substances that inhibit the synthesis of bacterial folate could be used to slow ageing or the onset of chronic diseases. This knowledge can be used to design new interventions.","Patent granted","EP2538931 (granted), WO2011104515","2016","No","None yet",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56dd9dc15ec8c8.82518336&grantRef=BB%2FH01974X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/H01974X/1","B9310C22-1C4A-4DFE-92E9-410127A5896F","2512EF1C-401B-4222-9869-A770D4C5FAC7","46B41008-0EB4-4E28-BBFB-E98366999EC5","42BA3D5B-8724-44C1-9746-BA3727523255"
"BBSRC","BB/F020325/1","Research Grant","Intellectual Property","University of Leicester","Biology","Jarvis","Robert","","Transgenic Plants. AtSP1, An E3 Ubiquitin Ligase, and Its Use","The invention relates to plants with improved phenotypes and related methods. These improved phenotypes are conferred by altering the expression of the SP1 gene which is involved in plastid development or altering the activity of the SP1 protein.","Patent application published","WO/2014/037735","2014","Yes","The technology is currently in development.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=54412d34424665.89907710&grantRef=BB%2FF020325%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/F020325/1","DB3E5C63-2695-490A-8176-3A54EADFF76F","2512EF1C-401B-4222-9869-A770D4C5FAC7","C842A34F-18F7-454D-A259-FED802368496","F18A74EC-BD7B-4608-9865-92CF7F8FAFB4"
"EPSRC","EP/F040644/1","Research Grant","Intellectual Property","University of Southampton","Optoelectronics Research Centre","Zheludev","Nikolay","","Super-Oscillatory Lens Device","A super-oscillatory lens having a pre-defined pattern to spatially modulate the light beam in amplitude and/or phase which has a blocking element formed integrally with the lens, or as a separate component adjacent to the lens, which is opaque to the light beam to cause diffraction of the light beam around the blocking element and formation of a shadow region. The lens and blocking element focus the light beam to form an elongate needle-shaped focus in the shadow region. In any application in which it is necessary to scan a small spot over a surface, compared with a conventional objective lens focus the elongate shape of the focus relaxes the requirement on a feedback loop to maintain a constant separation between a scan head and a surface being scanned. The elongate shape is also ideal shape for materials processing applications.","Patent application published","PCT/GB2013/050114","2012","No","The super-oscillatory lens concept underpins ongoing research work, funded international collaborations, and discussions with potential industrial research sponsors/partners. It has led to a number of high-profile journal and conference papers.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-1124855448.608152276674e1e&grantRef=EP%2FF040644%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/F040644/1","CC29A5E0-B38D-4F5A-BDC2-408EBACFF8AE","798CB33D-C79E-4578-83F2-72606407192C","30A429E3-83B7-4E41-99C0-14A144F07DFE","69678F23-E8B9-4B1D-9A43-3D254FC9C227"
"MRC","MC_G0802527","Intramural","Intellectual Property","University of Sheffield",,"Placzek","Marysia","","Compounds with anticonvulsant activity in zebrafish (VC)","A re-purposing screen of a library of known bioactive compounds was screened for anticonvulsant activity in zebrafish embryos. Several compounds were identified that had not previously been shown to exhibit anti-convulsant activity.","Protection not required",,"2012","No","Increased interest in the epilepsy research community in using the zebrafish as a model organism for epilepsy studies.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=coUwbEk7nhi&grantRef=MC_G0802527","http://gtr.rcuk.ac.uk:80/projects?ref=MC_G0802527","CD309051-8E76-4A4A-8B64-05B48790B2D3","C008C651-F5B0-4859-A334-5F574AB6B57C","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","ADEE92B8-DF3D-4F42-9B88-8FE07AE38936"
"MRC","G0701057","Research Grant","Intellectual Property","University of Cambridge","Chemistry","Klenerman","David","","Hopping mode SICM","A new way of scanning cells which can deal with complex topography by moving the pipette probe in a different way from conventional scanning probe microscopy","Patent application published","WO2009095720","2009","Yes","Enables scanning of tissue",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=Co4XS4Qwv8f&grantRef=G0701057","http://gtr.rcuk.ac.uk:80/projects?ref=G0701057","D96D7B56-7139-47CD-94E9-057588997ABA","C008C651-F5B0-4859-A334-5F574AB6B57C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","66CE5C78-9782-45C3-8587-B4314216469B"
"EPSRC","EP/I019103/1","Research Grant","Intellectual Property","University of Leeds","Mechanical Engineering","Fisher","John","","Tissue sensors for medical diagnosis","Optical sensors for the diagnosis of a range of medical conditions.","Protection not required",,"2012","No","A licence, with revenue sharing provisions, with another University.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=54649e898b0d49.78623436&grantRef=EP%2FI019103%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I019103/1","C856DA7B-701F-418D-A3D3-092CAF59E2AB","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","2DD4AB06-923B-44AF-AA55-1A50255C1FBE"
"EPSRC","EP/I019103/1","Research Grant","Intellectual Property","University of Leeds","Mechanical Engineering","Fisher","John","","Virtual Microscopy","Computer implemented methods and data processing apparatus are described for displaying virtual slide images. Images of a plurality of slides are automatically displayed in a first region of a display device at a first magnification. The slides comprise all the slides including material from a same specimen. An image of at least one of the slides is displayed in a second region at a second magnification greater than the first magnification. At least the image displayed in the second region is changed responsive to receiving user input. Methods for automatically determining a slide layout pattern and methods for virtually melding glass slide images into a single image are also described.","Patent application published","US201161497862P","2011","No","IP could be useful in pathology. A licence is being discussed with a commercial company.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=54649d5da5c218.02165829&grantRef=EP%2FI019103%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I019103/1","C856DA7B-701F-418D-A3D3-092CAF59E2AB","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","2DD4AB06-923B-44AF-AA55-1A50255C1FBE"
"EPSRC","EP/I019103/1","Research Grant","Intellectual Property","University of Leeds","Mechanical Engineering","Fisher","John","","Porcine bladder biomaterial","The invention provides an improved method of producing a natural, acellular matrix scaffold for subsequent use in tissue-engineered replacement of tissues such as the bladder. Decellularisation is carried out on an expanded or distended bladder and the product retains the strength and compliance of natural material. The invention also provides use of the matrix scaffolds as wound healing material and to investigate tissue structure and function in vitro.","Patent granted","WO2007110634","2007","Yes","This IP has supported a spin-out (Tissue Regenix) and its development of products. It is one of the four patents licensed to Tissue Regenix to date.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-2040795061.7752924766a406a&grantRef=EP%2FI019103%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I019103/1","C856DA7B-701F-418D-A3D3-092CAF59E2AB","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","2DD4AB06-923B-44AF-AA55-1A50255C1FBE"
"EPSRC","EP/H048170/2","Research Grant","Intellectual Property","Queen's University of Belfast","Sch of Chemistry and Chemical Eng","Mills","Andrew","","Intelligent pigments and plastics","smart pigments for smart plastics for the food industry","Patent granted","japanese patent no.: 2012-533687","2012","Yes","spin out of Insignia Technologies",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=543f9f37d1a426.28042890&grantRef=EP%2FH048170%2F2","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H048170/2","EA9761F0-C2F4-4BF4-81D1-078087390AA8","798CB33D-C79E-4578-83F2-72606407192C","EC23DA53-CA73-4104-A3F6-2A9523484E69","D54F3B68-AE78-4F46-A472-526B5E64C7BD"
"EPSRC","EP/J005223/1","Research Grant","Intellectual Property","University of East Anglia","Computing Sciences","Finlayson","Graham","","Spectral Estimation Method, System and Reference Target Design Method","Patent granted in the US (US9001214), patent applications under prosecution in other territories. The most common imaging devices we all have are mobile phones. So, plausibly we could use our phones to make measurements of visual appearance. Yet, understanding the meaning of the measurements a phone makes means we need a model of how the camera samples light. This in turn is predicated on the devices spectral sensitivities. This patent teaches how to estimate device spectral sensitivities independent of the processing pipeline implemented on the device/","Patent granted","US9001214","2011","No","The grant is still running. This IP could be commercialized in a number of ways including in a spin-out company.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56e000e0adeda3.21524312&grantRef=EP%2FJ005223%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/J005223/1","95F57A77-0A91-4F74-8780-056859CF8311","798CB33D-C79E-4578-83F2-72606407192C","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","2A5C593E-43C3-4E03-9530-990C61A80560"
"EPSRC","EP/G060363/1","Research Grant","Intellectual Property","University of Southampton","Optoelectronics Research Centre","Zheludev","Nikolay","","Non-linear Materials and Related Devices","A non-linear optical device comprising a non-linear element made of a plasmonic material with a periodic structure having a period smaller than the wavelength of a non-linear process intrinsic to the plasmonic material. The plasmonic material is implemented as a gold film which is structured with a periodic array of asymmetric split ring slits. The metamaterial framework of the plasmonic material itself is used as the source of a strong and fast non-linearity. The cubic non-linear response is resonantly enhanced through the effect of the metamaterial structuring by more than two orders of magnitude and its sign and magnitude can be controlled by varying the metamaterial pattern.","Patent granted","GB1108139.5","2011","No","The concept has underpinned further research work and international collaboration, leading to high-profile journal and conference papers.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=545745ca55ede7.23447334&grantRef=EP%2FG060363%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/G060363/1","2C9FE99B-1F5A-47FB-A510-0E90ABDA124F","798CB33D-C79E-4578-83F2-72606407192C","30A429E3-83B7-4E41-99C0-14A144F07DFE","69678F23-E8B9-4B1D-9A43-3D254FC9C227"
"ESRC","ES/K001531/1","Research Grant","Intellectual Property","University of Edinburgh","Moray House School of Education","Manches","Andrew","","Digicubes 2 app","Digicubes is an app developed for knowledge sharing for this grant. The app allows children to playfully explore numerical ideas. The app is being licensed out an early year technology company.","Copyrighted (e.g. software)",,"2015","Commercial In Confidence","Currently not released but expecting high knowledge impact quantified by number of downloads.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56de9fe6d1b1f0.40608466&grantRef=ES%2FK001531%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=ES/K001531/1","54E84512-E4B2-4ED0-BA8E-0DADE66CD000","924BE15C-91F2-4AAD-941A-3F338324B6AE","2DB7ED73-8E89-457A-A395-FAC12F929C1A","AEA8E3E0-6ED9-4E6F-9226-AEC179A250DC"
"EPSRC","EP/K022237/1","Research Grant","Intellectual Property","University of Ulster","Nanotechnology and Adv Materials Inst","Mariotti","Davide","","Photovoltaic device type-I","A new type of photovoltaic device has been proposed.","Patent application published","   Patent application number 1513366.3","","No","Application for funding to develop and commercialize the idea.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56d6bc22e5cf22.07713808&grantRef=EP%2FK022237%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/K022237/1","845DA870-F7E2-4203-80A0-0D5D47870966","798CB33D-C79E-4578-83F2-72606407192C","245EB81A-808F-4697-BAED-263C20266B74","C5AB3081-2E39-4842-9AD6-E6E415988C3B"
"NERC","NE/N004825/1","Research Grant","Intellectual Property","Imperial College London","Earth Science and Engineering","Weiss","Dominik","","Selective removal of arsenic","Selective sorption of Arsenic from groundwater","Patent application published",,"2013","No","We have been awarded funding to conduct a market study",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56df1fb762e3f6.52781578&grantRef=NE%2FN004825%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=NE/N004825/1","847B5CF3-BAE5-405F-B94E-0CF69E76092B","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","46387D84-F71E-4B7D-8C7D-9C288F113510","ADAC0FC9-E8A5-4DAA-A8E1-101AF578D66D"
"MRC","MC_UU_12011/1","Intramural","Intellectual Property","University of Southampton",,"Cooper","Cyrus","","Method of predicting one or more neurodevelopmental phenotypes of a subject.","Method of predicting one or more neurodevelopmental phenotypes.","Patent application published","WO2007129113","2013","No","Six abstracts and paper in press.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=g7Q6kXBmnF9&grantRef=MC_UU_12011%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UU_12011/1","4C5AFE04-4050-4FBC-8C09-0DAEC9623264","C008C651-F5B0-4859-A334-5F574AB6B57C","30A429E3-83B7-4E41-99C0-14A144F07DFE","EA2F586A-F0AF-4CC1-A4DB-876C3C335071"
"MRC","MC_UU_12011/1","Intramural","Intellectual Property","University of Southampton",,"Cooper","Cyrus","","Phenotype prediction by determining the methylation status of genes","Methylation as prediction of phenotype","Patent application published","WO2015/067952 A1","","No","EpiGen Consortium",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56ba659c845cf7.69164231&grantRef=MC_UU_12011%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UU_12011/1","4C5AFE04-4050-4FBC-8C09-0DAEC9623264","C008C651-F5B0-4859-A334-5F574AB6B57C","30A429E3-83B7-4E41-99C0-14A144F07DFE","EA2F586A-F0AF-4CC1-A4DB-876C3C335071"
"MRC","MC_UU_12011/1","Intramural","Intellectual Property","University of Southampton",,"Cooper","Cyrus","","Phenotype Prediction: Developmental Origins of Adult Disease","Phenotype Prediction.","Patent granted","EP2194143","2010","Yes","Epigen Consortium",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=F83E1E21E37&grantRef=MC_UU_12011%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UU_12011/1","4C5AFE04-4050-4FBC-8C09-0DAEC9623264","C008C651-F5B0-4859-A334-5F574AB6B57C","30A429E3-83B7-4E41-99C0-14A144F07DFE","EA2F586A-F0AF-4CC1-A4DB-876C3C335071"
"EPSRC","EP/E027237/1","Research Grant","Intellectual Property","University of Huddersfield","Sch of Computing and Engineering","Lucas","Gary","","MEANS AND METHOD FOR MONITORING THE FLOW OF FLUID","International Patent Application No.: PCT/GB2011/000600 A technique for electromagnetically measuring (i) the velocity profile of electrically conducting single phase flows and (ii) the velocity profile of the conducting continuous phase of multiphase flows.","Patent application published","WO2011128656","","Yes","Further funding received to develop the technique for medical imaging",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-2454008639.281624766adade&grantRef=EP%2FE027237%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/E027237/1","312F7127-F5B8-4104-A99B-0BDDF77AA4F2","798CB33D-C79E-4578-83F2-72606407192C","DC934AED-9432-4385-AEAF-006EA2369001","C39BDEAE-2E81-4295-84DB-BB9424A0B0FB"
"EPSRC","DT/F00270X/1","Research Grant","Intellectual Property","Aston University","Sch of Life and Health Sciences","Bill","Roslyn","","Protein Expression System","During the project we developed improved protein expression systems for human erythropoietin and selected mutants.","Protection not required",,"","No","Not applicable",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-6935913271.2110077666e488&grantRef=DT%2FF00270X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=DT/F00270X/1","9FB66FC5-7630-4326-B359-0AB42E06FE82","798CB33D-C79E-4578-83F2-72606407192C","5BFB9036-9D16-4AB9-A9EF-097BB6FBD69A","938B0269-F28D-45D8-B660-22A0CB6254DF"
